Hour:,total number of Shipment:, Total Miles Driven: ,Truck 0's coordinates ,Truck 1's coordinates ,Truck 2's coordinates ,Truck 3's coordinates ,Truck 4's coordinates ,Truck 5's coordinates ,Truck 6's coordinates ,Truck 7's coordinates ,Truck 8's coordinates ,Truck 9's coordinates ,Truck 10's coordinates ,Truck 11's coordinates ,Truck 12's coordinates ,Truck 13's coordinates ,Truck 14's coordinates ,Truck 15's coordinates ,Truck 16's coordinates ,Truck 17's coordinates ,Truck 18's coordinates ,Truck 19's coordinates ,
43,0,7260.316392170048,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(385.70907864762694:60.2737274798214),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
44,0,7411.225818421859,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(233.91120965630967:59.1618836450765),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
45,0,7445.292512427068,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(260.6212736897495:181.43232139034558),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
46,0,7500.982441244002,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(336.3159146745403:165.7740546477835),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
47,0,7846.497321280325,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(372.0067101721223:49.32759384540482),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
48,0,8007.727157007279,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(377.5721864729179:198.97112541083283),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
49,0,8025.506913625963,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(65.5543130433023:99.63293646786107),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
50,0,8448.987065314253,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(69.33146956495345:100.94940470179161),(223.92533380552663:57.73484915850371),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
51,0,8717.582048220267,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(69.33146956495345:100.94940470179161),(220.38800070828995:59.60227373775556),(326.15765214380474:143.63198090144186),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
52,0,8813.971524261544,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(69.33146956495345:100.94940470179161),(220.38800070828995:59.60227373775556),(323.7364782157071:140.4479713521628),(257.0115253873189:44.47418970997013),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
53,0,9119.45795309319,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(69.33146956495345:100.94940470179161),(220.38800070828995:59.60227373775556),(323.7364782157071:140.4479713521628),(251.01728808097835:44.2112845649552),(141.9272224680593:228.68039240778916),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
54,0,9434.930500475097,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(69.33146956495345:100.94940470179161),(220.38800070828995:59.60227373775556),(323.7364782157071:140.4479713521628),(251.01728808097835:44.2112845649552),(147.89083370208897:228.02058861168373),(296.2841436285438:24.209197713039373),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
55,0,9532.109396505692,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(69.33146956495345:100.94940470179161),(220.38800070828995:59.60227373775556),(323.7364782157071:140.4479713521628),(251.01728808097835:44.2112845649552),(147.89083370208897:228.02058861168373),(298.4262154428157:29.81379656955906),(287.56408206868025:127.06717165868743),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
56,0,9544.220837516496,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(69.33146956495345:100.94940470179161),(220.38800070828995:59.60227373775556),(323.7364782157071:140.4479713521628),(251.01728808097835:44.2112845649552),(147.89083370208897:228.02058861168373),(298.4262154428157:29.81379656955906),(281.3461231030204:132.10075748803115),(265.949044456578:191.27592355652624),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
57,0,9592.376160657766,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(69.33146956495345:100.94940470179161),(220.38800070828995:59.60227373775556),(323.7364782157071:140.4479713521628),(251.01728808097835:44.2112845649552),(147.89083370208897:228.02058861168373),(298.4262154428157:29.81379656955906),(281.3461231030204:132.10075748803115),(273.923566684867:191.91388533478937),(166.7478100846683:225.72847453299403),(280.1915990838711:68.7617482046526),
58,0,9780.109914054832,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(69.33146956495345:100.94940470179161),(220.38800070828995:59.60227373775556),(323.7364782157071:140.4479713521628),(251.01728808097835:44.2112845649552),(147.89083370208897:228.02058861168373),(298.4262154428157:29.81379656955906),(281.3461231030204:132.10075748803115),(273.923566684867:191.91388533478937),(159.62171512700243:222.09271179949104),(280.1915990838711:68.7617482046526),
59,0,10046.253025803922,(182.8405030100015:111.37423600235327),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(69.33146956495345:100.94940470179161),(220.38800070828995:59.60227373775556),(323.7364782157071:140.4479713521628),(251.01728808097835:44.2112845649552),(147.89083370208897:228.02058861168373),(298.4262154428157:29.81379656955906),(281.3461231030204:132.10075748803115),(273.923566684867:191.91388533478937),(159.62171512700243:222.09271179949104),(270.28739862580665:70.1426223069789),
60,0,10182.243090598153,(184.78733734666866:111.83231466980436),(309.6476678682912:29.98964623904997),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(69.33146956495345:100.94940470179161),(220.38800070828995:59.60227373775556),(323.7364782157071:140.4479713521628),(251.01728808097835:44.2112845649552),(147.89083370208897:228.02058861168373),(298.4262154428157:29.81379656955906),(281.3461231030204:132.10075748803115),(273.923566684867:191.91388533478937),(159.62171512700243:222.09271179949104),(270.28739862580665:70.1426223069789),
61,0,10195.88695334276,(184.78733734666866:111.83231466980436),(309.53022382438826:31.986194985399962),(276.96633347907465:194.63471632756114),(159.00078028480726:36.90323839169043),(384.0636179714404:61.410591219732105),(235.8668144844645:58.74282546761475),(264.43191053462425:182.64848208551837),(332.47387201181044:164.66108197167523),(368.0100652581835:49.49139076810723),(373.85827970937686:200.45668811624924),(69.33146956495345:100.94940470179161),(220.38800070828995:59.60227373775556),(323.7364782157071:140.4479713521628),(251.01728808097835:44.2112845649552),(147.89083370208897:228.02058861168373),(298.4262154428157:29.81379656955906),(281.3461231030204:132.10075748803115),(273.923566684867:191.91388533478937),(159.62171512700243:222.09271179949104),(270.28739862580665:70.1426223069789),
